N,Recursive,Iterative
1, 8.899951353669167e-08, 9.199720807373524e-08
2, 9.199720807373524e-08, 9.298673830926418e-08
3, 9.000359568744898e-08, 9.000359568744898e-08
4, 9.099312592297792e-08, 9.39908204600215e-08
5, 9.300129022449255e-08, 9.199720807373524e-08
6, 9.20117599889636e-08, 9.199720807373524e-08
7, 9.099312592297792e-08, 9.199720807373524e-08
8, 9.099312592297792e-08, 8.799543138593435e-08
9, 9.300129022449255e-08, 9.099312592297792e-08
10, 9.300129022449255e-08, 9.199720807373524e-08
11, 1.0599615052342415e-07, 9.099312592297792e-08
12, 1.0599615052342415e-07, 8.799543138593435e-08
13, 9.100767783820629e-08, 9.300129022449255e-08
14, 9.199720807373524e-08, 9.099312592297792e-08
15, 9.199720807373524e-08, 8.998904377222061e-08
16, 9.300129022449255e-08, 9.20117599889636e-08
17, 9.199720807373524e-08, 1.0599615052342415e-07
18, 9.099312592297792e-08, 9.199720807373524e-08
19, 1.0700023267418146e-07, 1.0100484360009432e-07
20, 1.069856807589531e-07, 1.0599615052342415e-07
21, 8.998904377222061e-08, 1.0599615052342415e-07
22, 9.100767783820629e-08, 9.199720807373524e-08
23, 9.20117599889636e-08, 9.199720807373524e-08
24, 9.199720807373524e-08, 9.099312592297792e-08
25, 9.300129022449255e-08, 8.998904377222061e-08
26, 9.39908204600215e-08, 8.899951353669167e-08
27, 9.199720807373524e-08, 8.998904377222061e-08
28, 9.199720807373524e-08, 9.199720807373524e-08
29, 9.300129022449255e-08, 1.0601070243865252e-07
30, 1.069856807589531e-07, 8.998904377222061e-08
31, 9.000359568744898e-08, 8.899951353669167e-08
32, 8.899951353669167e-08, 9.000359568744898e-08
33, 9.000359568744898e-08, 9.298673830926418e-08
34, 8.899951353669167e-08, 9.000359568744898e-08
35, 8.899951353669167e-08, 8.899951353669167e-08
36, 9.000359568744898e-08, 8.899951353669167e-08
37, 9.100767783820629e-08, 8.899951353669167e-08
38, 9.199720807373524e-08, 9.300129022449255e-08
39, 8.899951353669167e-08, 9.500945452600718e-08
40, 8.899951353669167e-08, 8.799543138593435e-08
41, 8.998904377222061e-08, 9.100767783820629e-08
42, 8.899951353669167e-08, 1.0499206837266684e-07
43, 9.099312592297792e-08, 8.998904377222061e-08
44, 9.100767783820629e-08, 9.300129022449255e-08
45, 9.300129022449255e-08, 9.199720807373524e-08
46, 9.199720807373524e-08, 8.899951353669167e-08
47, 9.199720807373524e-08, 8.899951353669167e-08
48, 9.000359568744898e-08, 9.199720807373524e-08
49, 9.300129022449255e-08, 9.39908204600215e-08
50, 9.199720807373524e-08, 9.199720807373524e-08
51, 9.099312592297792e-08, 9.20117599889636e-08
52, 9.100767783820629e-08, 9.199720807373524e-08
53, 8.998904377222061e-08, 9.199720807373524e-08
54, 9.400537237524986e-08, 9.000359568744898e-08
55, 9.099312592297792e-08, 9.199720807373524e-08
56, 9.20117599889636e-08, 8.899951353669167e-08
57, 9.300129022449255e-08, 9.199720807373524e-08
58, 9.300129022449255e-08, 9.500945452600718e-08
59, 9.099312592297792e-08, 9.000359568744898e-08
60, 9.000359568744898e-08, 8.899951353669167e-08
61, 9.100767783820629e-08, 9.199720807373524e-08
62, 9.39908204600215e-08, 1.0599615052342415e-07
63, 8.998904377222061e-08, 9.099312592297792e-08
64, 9.099312592297792e-08, 1.0599615052342415e-07
65, 8.899951353669167e-08, 8.700590115040541e-08
66, 9.199720807373524e-08, 9.000359568744898e-08
67, 8.899951353669167e-08, 8.998904377222061e-08
68, 9.099312592297792e-08, 9.39908204600215e-08
69, 9.199720807373524e-08, 9.099312592297792e-08
70, 9.300129022449255e-08, 1.0599615052342415e-07
71, 9.000359568744898e-08, 1.0599615052342415e-07
72, 9.099312592297792e-08, 9.199720807373524e-08
73, 8.899951353669167e-08, 8.998904377222061e-08
74, 9.099312592297792e-08, 9.20117599889636e-08
75, 9.099312592297792e-08, 1.069856807589531e-07
76, 1.0700023267418146e-07, 1.050066202878952e-07
77, 9.199720807373524e-08, 9.400537237524986e-08
78, 9.400537237524986e-08, 8.998904377222061e-08
79, 9.499490261077881e-08, 1.0599615052342415e-07
80, 9.39908204600215e-08, 9.300129022449255e-08
81, 9.300129022449255e-08, 1.0599615052342415e-07
82, 1.0599615052342415e-07, 1.0499206837266684e-07
83, 8.899951353669167e-08, 9.499490261077881e-08
84, 9.199720807373524e-08, 9.099312592297792e-08
85, 8.899951353669167e-08, 8.901406545192003e-08
86, 9.000359568744898e-08, 9.199720807373524e-08
87, 9.099312592297792e-08, 9.500945452600718e-08
